id,专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
2637,3,2013,0,0,0,0,1,5,3,2,5,0,1-10万
2638,3,2018,0,0,1,1,1,4,3,3,5,1,0万
2639,3,2018,0,0,1,1,1,6,2,3,4,0,0-1万
2640,3,2015,0,0,1,0,1,4,2,3,5,0,1-10万
2641,3,2015,0,0,1,1,1,4,2,3,5,0,1-10万
2642,3,2015,0,0,1,1,0,6,2,3,5,1,0万
2643,3,2016,0,0,1,1,1,6,3,3,5,0,1-10万
2644,3,2016,0,0,0,0,1,3,2,3,4,0,1-10万
2645,3,2015,0,0,0,1,1,6,3,3,5,0,1-10万
2646,3,2015,0,0,0,1,1,6,3,3,5,0,1-10万
2647,3,2015,0,0,0,1,1,6,3,3,5,0,0-1万
2648,3,2015,0,0,0,1,1,6,0,3,4,0,1-10万
2649,3,2015,0,0,0,1,1,5,6,3,5,0,20-50万
2650,3,2015,0,0,0,1,1,6,0,3,4,0,1-10万
2651,3,2016,0,0,0,0,1,4,2,3,5,0,1-10万
2652,3,2016,0,0,0,0,1,3,2,3,5,0,0-1万
2653,3,2016,0,0,0,0,1,4,2,3,5,0,0-1万
2654,3,2015,0,0,0,1,1,6,3,3,5,0,1-10万
2655,3,2015,0,0,0,0,1,3,2,3,5,0,1-10万
2656,3,2015,0,0,0,1,1,3,0,3,4,1,0万
2657,3,2015,0,0,1,0,0,1,2,3,5,1,0万
2658,3,2015,0,0,1,0,1,5,3,4,5,0,1-10万
2659,3,2015,0,0,1,1,1,6,3,4,5,0,1-10万
2660,3,2017,0,0,1,1,1,5,2,4,5,0,1-10万
2661,3,2016,0,0,1,0,1,3,4,4,5,0,1-10万
2662,3,2018,0,0,1,0,1,3,2,4,5,0,1-10万
2663,3,2016,0,0,1,0,1,3,4,4,4,0,10-20万
2664,3,2016,0,0,1,0,1,2,4,4,5,0,1-10万
2665,3,2015,0,0,1,1,1,6,3,4,5,0,1-10万
2666,3,2018,0,0,1,0,1,3,2,5,5,0,1-10万
2667,3,2015,1,0,1,0,1,4,3,2,5,0,100-1000万
2668,3,2016,0,0,0,1,1,4,3,3,5,0,1-10万
2669,3,2018,0,0,0,0,1,3,3,4,4,0,1-10万
2670,3,2016,0,0,0,1,0,3,0,7,4,0,1-10万
2671,3,2016,0,0,0,1,0,3,2,4,4,1,0万
2672,3,2018,0,0,0,0,0,2,2,4,4,1,0万
2673,3,2018,0,0,0,1,1,4,3,4,5,0,1-10万
2674,3,2017,0,0,0,0,0,1,2,3,2,1,0万
2675,3,2015,0,0,0,0,0,1,2,4,5,0,0-1万
2676,3,2019,0,0,0,0,1,6,0,7,4,0,1-10万
2677,3,2018,0,0,0,1,1,3,3,5,5,0,1-10万
2678,3,2017,0,0,0,0,0,2,4,4,4,1,0万
2679,3,2016,0,0,0,0,1,3,2,4,5,0,1-10万
2680,3,2016,0,0,0,0,0,1,2,4,5,0,1-10万
2681,3,2018,0,0,0,1,1,6,3,3,4,1,0万
2682,3,2017,0,0,0,0,1,3,5,4,5,0,1-10万
2683,3,2018,0,0,0,0,0,1,2,3,5,0,1-10万
2684,3,2016,0,0,1,0,0,2,0,4,5,1,0万
2685,3,2018,0,0,0,0,1,3,3,4,5,0,10-20万
2686,3,2015,0,0,0,1,0,1,3,3,5,0,1-10万
2687,3,2017,1,0,1,0,0,2,5,4,4,0,0-1万
2688,3,2016,1,0,1,1,1,3,3,4,4,0,20-50万
2689,3,2017,1,0,1,0,0,2,6,3,5,0,1-10万
2690,3,2016,1,0,1,0,1,3,6,4,5,0,1-10万
2691,3,2013,1,0,1,1,1,5,4,4,4,0,1-10万
2692,3,2016,0,0,0,1,1,3,3,4,4,0,1-10万
2693,3,2014,0,0,0,0,1,3,2,4,4,0,0-1万
2694,3,2017,0,0,0,0,0,2,2,7,4,0,0-1万
2695,3,2017,0,0,0,0,1,2,2,4,5,1,0万
2696,3,2017,0,0,0,0,1,3,2,4,5,1,0万
2697,3,2015,0,0,0,0,0,2,2,4,4,0,0-1万
2698,3,2015,0,0,0,0,0,2,2,4,5,1,0万
2699,3,2016,0,0,0,0,0,2,2,4,5,0,0-1万
2700,3,2016,0,0,0,0,0,1,2,4,5,0,0-1万
2701,3,2016,0,0,0,0,0,2,2,4,5,0,0-1万
2702,3,2016,0,0,0,0,0,1,2,4,4,0,0-1万
2703,3,2014,0,0,0,0,1,3,4,3,5,0,1-10万
2704,3,2016,0,0,0,0,1,4,2,4,4,0,1-10万
2705,3,2016,0,0,0,1,1,3,0,4,5,1,0万
2706,3,2015,0,1,1,1,1,4,3,3,4,0,1-10万
2707,3,2018,0,1,1,0,1,3,3,3,3,1,0万
2708,3,2017,0,0,0,1,1,4,3,3,5,0,1-10万
